Table 4B-R: Quantity (kg) of consumption of cereals and pulses per person for a period of 30 days for each decile class of MPCEmrp,,,,,,,,,,,,,
All-India    Rural,,R,,,,,,,,,,,
,,,,,,,,,,,,,
item,DR10,DR20,DR30,DR40,DR50,DR60,DR70,DR80,DR90,DR100,all classes,no. of hhs reporting consumption.per 1000 hhs,no. of hhs reporting consumption.in sample
grain_rice,6.106,6.279,6.093,6.333,6.065,6.007,6.260,6.054,6.179,5.965,6.134,938,56574
grain_wheat,3.469,3.647,3.920,4.266,4.426,4.349,4.509,4.676,4.886,5.268,4.342,854,49147
grain_jo war,0.243,0.352,0.275,0.269,0.346,0.330,0.271,0.362,0.315,0.274,0.304,92,4649
grain_bajra,0.055,0.108,0.194,0.205,0.255,0.262,0.367,0.420,0.363,0.313,0.254,64,2958
grain_maize,0.172,0.237,0.257,0.227,0.190,0.303,0.222,0.145,0.163,0.123,0.204,62,4081
grain_barley,0.004,0.004,0.001,0.004,0.000,0.005,0.003,0.003,0.001,0.003,0.003,2,162
grain_small millets,0.009,0.005,0.004,0.008,0.008,0.001,0.001,0.002,0.005,0.004,0.005,5,481
grain_ragi,0.057,0.051,0.070,0.118,0.118,0.108,0.145,0.120,0.095,0.079,0.096,51,2536
grain_other cereals,0.003,0.003,0.002,0.004,0.002,0.002,0.004,0.008,0.008,0.007,0.004,9,769
grain_total cereals,10.117,10.686,10.815,11.433,11.411,11.367,11.782,11.790,12.016,12.036,11.345,985,58788
pulse_gram,0.016,0.024,0.031,0.030,0.035,0.030,0.042,0.047,0.050,0.085,0.039,217,14695
pulse_cereal subst.,0.002,0.006,0.007,0.011,0.017,0.024,0.028,0.050,0.063,0.122,0.033,81,5290
pulse_arahar,0.079,0.103,0.124,0.134,0.161,0.174,0.188,0.212,0.235,0.267,0.168,544,29313
pulse_gram (split),0.054,0.062,0.064,0.067,0.070,0.079,0.083,0.093,0.095,0.120,0.079,394,22783
pulse_moong,0.030,0.041,0.050,0.055,0.064,0.074,0.083,0.103,0.111,0.147,0.076,416,25262
pulse_masur,0.059,0.076,0.070,0.083,0.078,0.084,0.081,0.082,0.084,0.079,0.078,346,23644
pulse_urd,0.039,0.044,0.051,0.053,0.063,0.066,0.077,0.085,0.103,0.135,0.072,354,21330
pulse_peas,0.063,0.078,0.081,0.076,0.062,0.048,0.054,0.035,0.033,0.040,0.057,152,7924
pulse_khesari,0.026,0.023,0.018,0.017,0.013,0.009,0.009,0.005,0.005,0.002,0.013,43,1859
pulse_other pulses,0.028,0.024,0.028,0.027,0.027,0.026,0.030,0.035,0.038,0.047,0.031,145,11186
pulse_pulse products,0.024,0.029,0.035,0.032,0.041,0.050,0.052,0.064,0.073,0.092,0.049,352,21609
pulse_pulses & pulse product,0.402,0.480,0.522,0.545,0.580,0.611,0.657,0.713,0.777,0.929,0.622,969,57510
sample hhs,3059,3438,3869,4337,4780,5350,6176,7225,8959,11926,59119,-,-
