Table 4B-U: Quantity (kg) of consumption of cereals and pulses per person for a period of 30 days for each decile class of MPCEmrp,,,,,,,,,,,,,
All-India    Urban,,U,,,,,,,,,,,
,,,,,,,,,,,,,
item,DU10,DU20,DU30,DU40,DU50,DU60,DU70,DU80,DU90,DU100,all classes,no. of hhs reporting consumption.per 1000 hhs,no. of hhs reporting consumption.in sample
grain_rice,4.620,4.813,4.764,4.952,4.853,4.665,4.811,4.611,4.468,4.000,4.656,917,39480
grain_wheat,4.342,4.286,4.286,4.323,4.441,4.440,4.330,4.394,4.431,4.314,4.359,895,36802
grain_jo war,0.288,0.233,0.282,0.201,0.198,0.169,0.160,0.115,0.081,0.092,0.182,75,2784
grain_bajra,0.112,0.104,0.135,0.099,0.096,0.086,0.098,0.065,0.041,0.031,0.087,43,1423
grain_maize,0.058,0.019,0.009,0.015,0.017,0.020,0.016,0.019,0.011,0.012,0.020,17,977
grain_barley,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.001,0.000,0.000,0.001,1,55
grain_small millets,0.000,0.006,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.002,0.001,4,177
grain_ragi,0.038,0.061,0.044,0.081,0.080,0.087,0.107,0.114,0.099,0.054,0.077,52,1466
grain_other cereals,0.001,0.001,0.004,0.004,0.003,0.004,0.005,0.005,0.008,0.012,0.005,15,623
grain_total cereals,9.458,9.523,9.525,9.678,9.689,9.475,9.527,9.324,9.141,8.517,9.386,934,40178
pulse_gram,0.023,0.033,0.035,0.041,0.042,0.049,0.057,0.063,0.073,0.079,0.050,282,11701
pulse_cereal subst.,0.007,0.015,0.018,0.021,0.030,0.026,0.035,0.034,0.037,0.042,0.027,92,3367
pulse_arahar,0.129,0.174,0.199,0.236,0.253,0.278,0.325,0.347,0.349,0.364,0.265,697,25236
pulse_gram (split),0.071,0.070,0.074,0.072,0.080,0.090,0.084,0.078,0.095,0.093,0.081,438,16942
pulse_moong,0.045,0.062,0.078,0.092,0.098,0.113,0.125,0.138,0.145,0.162,0.106,573,22031
pulse_masur,0.069,0.083,0.078,0.076,0.084,0.083,0.086,0.076,0.082,0.076,0.079,352,16855
pulse_urd,0.046,0.057,0.065,0.079,0.081,0.089,0.103,0.111,0.132,0.141,0.090,428,16040
pulse_peas,0.056,0.026,0.027,0.020,0.018,0.015,0.017,0.017,0.018,0.025,0.024,108,5051
pulse_khesari,0.007,0.004,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,8,436
pulse_other pulses,0.015,0.019,0.022,0.025,0.026,0.028,0.033,0.030,0.037,0.048,0.028,168,7583
pulse_pulse products,0.035,0.048,0.054,0.061,0.069,0.079,0.084,0.094,0.101,0.120,0.074,456,18128
pulse_pulses & pulse product,0.472,0.545,0.599,0.661,0.710,0.778,0.859,0.892,0.960,1.031,0.751,926,39601
sample hhs,4562,3545,3446,3618,3609,3970,4138,4689,5111,5048,41736,-,-
