region,urban_rural,D10,D20,D30,D40,D50,D60,D70,D80,D90,D100,unit
India,rural,453,584,675,761,848,944,1063,1221,1470,2517,avg_MPCE
India,urban,599,831,1012,1196,1398,1633,1931,2330,3051,5863,avg_MPCE
